Ano,Km,Cilindros,Combustivel_Gasolina,Combustivel_Gás,Combustivel_Hibrido,Classificacao_Veiculo_Usado,Faixa_Preco
2017,80425.0,4,1.0,0.0,0.0,1.0,1.0
2014,105600.0,4,1.0,0.0,0.0,1.0,0.0
2010,52418.0,4,1.0,0.0,0.0,1.0,0.0
2010,164000.0,4,0.0,0.0,1.0,1.0,0.0
2013,182901.0,4,1.0,0.0,0.0,1.0,1.0
2003,157000.0,4,1.0,0.0,0.0,1.0,0.0
2019,66500.0,4,0.0,0.0,0.0,0.0,1.0
2015,106918.0,8,1.0,0.0,0.0,1.0,1.0
2009,125350.0,4,1.0,0.0,0.0,1.0,0.0
2011,220323.0,6,0.0,0.0,0.0,1.0,0.0
2012,192840.0,4,1.0,0.0,0.0,1.0,1.0
2003,240000.0,8,1.0,0.0,0.0,1.0,1.0
2000,192000.0,6,0.0,1.0,0.0,1.0,0.0
2014,100000.0,4,1.0,0.0,0.0,1.0,0.0
1974,167658.24705581157,1,1.0,0.0,0.0,1.0,0.0
2016,83106.0,4,1.0,0.0,0.0,1.0,0.0
2008,210452.0,4,0.0,0.0,1.0,1.0,0.0
2007,390626.0,4,1.0,0.0,0.0,1.0,0.0
2017,39762.0,4,1.0,0.0,0.0,1.0,0.0
2019,84000.0,4,1.0,0.0,0.0,0.0,1.0
2012,167658.24705581157,4,1.0,0.0,0.0,1.0,0.0
2012,224118.0,6,0.0,0.0,0.0,1.0,0.0
2011,259066.0,6,1.0,0.0,0.0,1.0,0.0
2018,35798.0,4,1.0,0.0,0.0,0.0,1.0
2013,167658.24705581157,4,0.0,0.0,1.0,1.0,0.0
2016,167658.24705581157,6,0.0,0.0,0.0,1.0,0.0
2014,213698.0,4,0.0,0.0,0.0,1.0,0.0
2015,19000.0,4,1.0,0.0,0.0,1.0,0.0
2007,220000.0,8,1.0,0.0,0.0,1.0,1.0
2016,110189.0,4,0.0,0.0,0.0,1.0,1.0
2008,244731.0,6,0.0,0.0,1.0,1.0,0.0
2017,167658.24705581157,4,1.0,0.0,0.0,1.0,0.0
2011,137000.0,4,1.0,0.0,0.0,1.0,0.0
1989,367000.0,6,1.0,0.0,0.0,1.0,0.0
2013,152000.0,4,1.0,0.0,0.0,1.0,1.0
2014,141384.0,6,0.0,0.0,0.0,1.0,0.0
2017,69918.0,8,1.0,0.0,0.0,1.0,1.0
2013,135000.0,4,0.0,0.0,1.0,1.0,0.0
2017,1600.0,4,1.0,0.0,0.0,1.0,0.0
2014,167658.24705581157,4,0.0,0.0,1.0,1.0,1.0
2019,14000.0,4,0.0,0.0,0.0,0.0,2.0
2009,244800.0,4,0.0,0.0,1.0,1.0,0.0
2012,157000.0,4,0.0,0.0,1.0,1.0,0.0
2013,101709.0,4,1.0,0.0,0.0,1.0,1.0
2018,5000.0,4,1.0,0.0,0.0,0.0,2.0
2008,63000.0,6,1.0,0.0,0.0,1.0,1.0
2015,118410.0,4,0.0,0.0,1.0,1.0,0.0
2014,167658.24705581157,4,1.0,0.0,0.0,1.0,1.0
1998,0.0,4,0.0,0.0,0.0,1.0,0.0
2002,188645.0,4,0.0,1.0,0.0,1.0,0.0
2015,188078.0,8,1.0,0.0,0.0,1.0,0.0
